Ad Poster ID,Date,Platform,Ad ID,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
3,9/23/2018,Facebook,17,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Henderson,"Text: Check out this 12 inch Vinyl Single from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/27305189/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Google,18,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Henderson,"Text: Check out this 12 inch Vinyl Single from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/27305189/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Facebook,19,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/17124096/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Google,20,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/17124096/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/24/2018,Facebook,21,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 7,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/18409735/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/24/2018,Google,22,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 7,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/18409735/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/25/2018,Facebook,23,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 8,Lamont,"Text: Check out this VINYL from the one and only Lamont!, Website URL: https://api.bestbuy.com/click/-/20252718/pdp, Headline: Calling all music lovers, State: Connecticut, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/25/2018,Google,24,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 8,Lamont,"Text: Check out this VINYL from the one and only Lamont!, Website URL: https://api.bestbuy.com/click/-/20252718/pdp, Headline: Calling all music lovers, State: Connecticut, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/26/2018,Facebook,25,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 9,Abrams,"Text: Check out this VINYL from the one and only Abrams!, Website URL: https://api.bestbuy.com/click/-/32726219/pdp, Headline: Calling all music lovers, State: Georgia, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/26/2018,Google,26,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 9,Abrams,"Text: Check out this VINYL from the one and only Abrams!, Website URL: https://api.bestbuy.com/click/-/32726219/pdp, Headline: Calling all music lovers, State: Georgia, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/27/2018,Facebook,27,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 10,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/18805565/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/27/2018,Google,28,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 10,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/18805565/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/28/2018,Facebook,29,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 11,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/20226068/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/28/2018,Google,30,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 11,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/20226068/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/28/2018,Facebook,31,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 11,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/20653659/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
